,concept,id,label_1,label_2,label_3,label_4,label_5,margin_error_dummy,race,type
2122,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_078M,Margin of Error for!!Female,Other,With earnings,"$5,000 to $7,499",,True,Black or African American Alone,int
2195,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_003M,Margin Of Error For!!Male,Under 5 years,,,,True,Black or African American Alone,int
2217,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_050E,Householder 45 to 64 years,"$125,000 to $149,999",,,,False,Black or African American Alone,int
2299,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_007E,Male,Under 18 years,Foreign born,Not a U.S. citizen,,False,Black or African American Alone,int
2423,B19001B.  Household Income (Black or African American Alone Householder),B19001B_004M,"Margin of Error for!!$15,000 to $19,999",,,,,True,Black or African American Alone,int
2522,B08505B.  MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY (BLACK OR AFRICAN AMERICAN ALONE),B08505B_007E,Worked at home,,,,,False,Black or African American Alone,int
2640,C21001B.  Sex by Age by Veteran Status for the Civilian Pop 18 Years and Over (Black or African American Alone),C21001B_003E,Male,18 to 64 years:,,,,False,Black or African American Alone,int
2664,B07004B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07004B_003E,Moved within same county,,,,,False,Black or African American Alone,int
2715,B13002B.  Women 15 to 50 Years Who Had A Birth in the Past 12 Months by Marital Status (Black or African American Alone),B13002B_004E,Women who had a birth in the past 12 months,"Unmarried (never married, widowed and divorced)",,,,False,Black or African American Alone,int
2724,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_020M,Margin of Error for!!Householder 25 to 44 years,"Less than $10,000",,,,True,Black or African American Alone,int
2730,B19001B.  Household Income (Black or African American Alone Householder),B19001B_011M,"Margin of Error for!!$50,000 to $59,999",,,,,True,Black or African American Alone,int
2776,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_017M,Margin Of Error For!!Income in the past 12 months at or above poverty level,75 years and over,,,,True,Black or African American Alone,int
2931,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_019M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$40,000 to $44,999",,True,Black or African American Alone,int
2951,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_058E,Householder 65 years and over,"$25,000 to $29,999",,,,False,Black or African American Alone,int
3062,B20017B.  Median Earnings by Sex by Work Exp. for the Pop. 16+ Yrs With Earnings (Black or African American Alone),B20017B_002M,Margin of Error for!!Median earnings in the past 12 months (in 2012 inflation-adjusted dollars) --!!Male --!!Total,,,,,True,Black or African American Alone,int
3138,B07404B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07404B_003E,Moved within same county,,,,,False,Black or African American Alone,int
3166,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_038M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Male,16 and 17 years,,,True,Black or African American Alone,int
3194,B19101B.  Family Income (Black or African American Alone Householder),B19101B_006M,"Margin of Error for!!$25,000 to $29,999",,,,,True,Black or African American Alone,int
3235,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_054M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Female,25 to 34 years,,,True,Black or African American Alone,int
3271,B12007B.  Median Age At First Marriage (Black or Africian American Alone),B12007B_001E,Median age at first marriage --!!Male,,,,,False,Black or African American Alone,int
3338,B07404B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07404B_002M,Margin Of Error For!!Same house,,,,,True,Black or African American Alone,int
3415,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_006E,Male,16 to 64 years,In labor force,Civilian:,,False,Black or African American Alone,int
3442,B11002B.  HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),B11002B_005M,Margin Of Error For!!In family households,In married-couple family,Nonrelatives,,,True,Black or African American Alone,int
3467,C21001B.  Sex by Age by Veteran Status for the Civilian Pop 18 Years and Over (Black or African American Alone),C21001B_009E,Female:,,,,,False,Black or African American Alone,int
3565,B08105B.  MEANS OF TRANSPORTATION TO WORK (BLACK OR AFRICAN AMERICAN ALONE),B08105B_005M,Margin Of Error For!!Walked,,,,,True,Black or African American Alone,int
3566,B18101B.  Age by Disability Status (Black or African American Alone),B18101B_009M,Margin of Error for!!65 years and over,With a disability,,,,True,Black or African American Alone,int
3579,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_035M,Margin Of Error For!!Income in the past 12 months at or above poverty level,Other family,"Male householder, no wife present",No related children under 18 years,,True,Black or African American Alone,int
3595,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_016M,Margin Of Error For!!Income in the past 12 months at or above poverty level,65 to 74 years,,,,True,Black or African American Alone,int
3606,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_069E,Householder 65 years and over,"$200,000 or more",,,,False,Black or African American Alone,int
3635,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_001E,Total:,,,,,False,Black or African American Alone,int
3685,B07004B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07004B_004M,Margin Of Error For!!Moved from different county within same state,,,,,True,Black or African American Alone,int
3736,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_024M,Margin of Error for!!Householder 25 to 44 years,"$25,000 to $29,999",,,,True,Black or African American Alone,int
3780,B19101B.  Family Income (Black or African American Alone Householder),B19101B_017M,"Margin of Error for!!$200,000 or more",,,,,True,Black or African American Alone,int
3807,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_016E,Male,85 years and over,,,,False,Black or African American Alone,int
3813,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_007M,Margin of Error for!!Enrolled in school,Enrolled in grade 3,,,,True,Black or African American Alone,int
3836,B07404B.  Geographical Mobility in the Past Year (Black or African American Alone) in the U.S.,B07404B_004E,Moved to different county within same state,,,,,False,Black or African American Alone,int
3842,B19101B.  Family Income (Black or African American Alone Householder),B19101B_016M,"Margin of Error for!!$150,000 to $199,999",,,,,True,Black or African American Alone,int
3845,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_007M,Margin Of Error For!!Male,16 to 64 years,In labor force,Civilian,Employed,True,Black or African American Alone,int
3867,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_007M,Margin Of Error For!!Male,Divorced,,,,True,Black or African American Alone,int
3879,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_032M,Margin of Error for!!Male,Other,With earnings,"$7,500 to $9,999",,True,Black or African American Alone,int
3891,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_064E,Householder 65 years and over,"$60,000 to $74,999",,,,False,Black or African American Alone,int
3902,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_011E,Foreign born,Speak another language!!Speak English 'less than well',,,,False,Black or African American Alone,int
3911,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_017M,Margin of Error for!!Enrolled in school,"Enrolled in college, undergraduate years",,,,True,Black or African American Alone,int
3932,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
3938,B18101B.  Age by Disability Status (Black or African American Alone),B18101B_006E,18 to 64 years,With a disability,,,,False,Black or African American Alone,int
3963,B18101B.  Age by Disability Status (Black or African American Alone),B18101B_001E,Total:,,,,,False,Black or African American Alone,int
4030,B25032B.  UNITS IN STRUCTURE (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25032B_008M,Margin Of Error For!!20 to 49,,,,,True,Black or African American Alone,int
4103,B25014B.  OCCUPANTS PER ROOM (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),B25014B_001E,Total:,,,,,False,Black or African American Alone,int
4138,B17020B.  POVERTY STATUS IN THE PAST 12 MONTHS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17020B_008E,Income in the past 12 months below poverty level,65 to 74 years,,,,False,Black or African American Alone,int
4189,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_008E,Male,18 years and over:,,,,False,Black or African American Alone,int
4292,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_002E,Male:,,,,,False,Black or African American Alone,int
4296,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_007E,Income in the past 12 months below poverty level,Married-couple family,With related children under 18 years,5 to 17 years only,,False,Black or African American Alone,int
4344,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_019M,Margin Of Error For!!Female,16 to 64 years,In labor force,Civilian:,,True,Black or African American Alone,int
4366,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_022M,Margin Of Error For!!Income in the past 12 months at or above poverty level:,,,,,True,Black or African American Alone,int
4439,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_008M,Margin Of Error For!!Income in the past 12 months below poverty level,Male,15 years,,,True,Black or African American Alone,int
4537,B19301B.  Per Capita Income (Black or African American Alone),B19301B_001E,Per capita income in the past 12 months (in 2012 inflation-adjusted dollars),,,,,False,Black or African American Alone,int
4596,B05003B.  Sex by Age by Nativity and Citizenship Status  (Black or African American Alone),B05003B_021E,Female,18 years and over,Foreign born:,,,False,Black or African American Alone,int
4601,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_005M,Margin Of Error For!!Male,Sales and office occupations:,,,,True,Black or African American Alone,int
4726,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_038E,Male,Other,With earnings,"$22,500 to $24,999",,False,Black or African American Alone,int
4770,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_059M,Margin of Error for!!Householder 65 years and over,"$30,000 to $34,999",,,,True,Black or African American Alone,int
4785,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_015M,Margin Of Error For!!Income in the past 12 months below poverty level,Male,65 to 74 years,,,True,Black or African American Alone,int
4881,B06004B.  Place of Birth (Black or African American Alone) in the United States,B06004B_003E,Born in other state in the United States,,,,,False,Black or African American Alone,int
4900,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_001M,Margin Of Error For!!Total:,,,,,True,Black or African American Alone,int
4912,B17001B.  POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B17001B_018E,Income in the past 12 months below poverty level,Female,Under 5 years,,,False,Black or African American Alone,int
4922,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_012M,Margin Of Error For!!Male,45 to 54 years,,,,True,Black or African American Alone,int
4942,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_026M,Margin Of Error For!!Female,35 to 44 years,,,,True,Black or African American Alone,int
4966,B19313B.  Aggregate Income for the Population 15+ Years (Black or African American Alone),B19313B_001E,Aggregate income in the past 12 months (in 2012 inflation-adjusted dollars),,,,,False,Black or African American Alone,int
5032,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_022M,Margin Of Error For!!Female,16 to 64 years,Not in labor force,,,True,Black or African American Alone,int
5088,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_041E,Male,Other,With earnings,"$35,000 to $39,999",,False,Black or African American Alone,int
5121,B16005B.  Nativity by Language Spoken at Home by Ability to Speak English for the Population 5+ Yrs (Black Alone),B16005B_011M,Margin Of Error For!!Foreign born,Speak another language!!Speak English 'less than well',,,,True,Black or African American Alone,int
5123,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_022M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$55,000 to $64,999",,True,Black or African American Alone,int
5174,B01001B.  SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),B01001B_019E,Female,5 to 9 years,,,,False,Black or African American Alone,int
5285,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_028M,Margin of Error for!!Male,Other,With earnings:,,,True,Black or African American Alone,int
5287,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_060E,Female,"Worked full-time, year-round in the past 12 months",With earnings,"$17,500 to $19,999",,False,Black or African American Alone,int
5353,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_006E,Male,Widowed,,,,False,Black or African American Alone,int
5395,B12002B.  SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),B12002B_011E,Female,Separated,,,,False,Black or African American Alone,int
5431,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_033M,Margin of Error for!!Male,Other,With earnings,"$10,000 to $12,499",,True,Black or African American Alone,int
5464,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_003E,Male,"Management, business, science, and arts occupations:",,,,False,Black or African American Alone,int
5473,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_095M,Margin of Error for!!Female,Other,With earnings,"$100,000 or more",,True,Black or African American Alone,int
5517,B19001B.  Household Income (Black or African American Alone Householder),B19001B_014M,"Margin of Error for!!$100,000 to $124,999",,,,,True,Black or African American Alone,int
5572,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_018E,Male,"Worked full-time, year-round in the past 12 months",With earnings,"$35,000 to $39,999",,False,Black or African American Alone,int
5596,C23002B.  Sex by Age by Employment Status for the Population 16 Years and Over (Black or African American Alone),C23002B_002M,Margin Of Error For!!Male:,,,,,True,Black or African American Alone,int
5615,B13002B.  Women 15 to 50 Years Who Had A Birth in the Past 12 Months by Marital Status (Black or African American Alone),B13002B_007M,Margin Of Error For!!Women who did not have a birth in the past 12 months,"Unmarried (never married, widowed and divorced)",,,,True,Black or African American Alone,int
5675,B11002B.  HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),B11002B_011M,Margin Of Error For!!In family households,"In female householder, no husband present, family",Nonrelatives,,,True,Black or African American Alone,int
5758,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_051M,Margin of Error for!!Householder 45 to 64 years,"$150,000 to $199,999",,,,True,Black or African American Alone,int
5787,B10051B.  GrndPrnts Living With Own GrndChldrn < 18 Yrs by Responsibility for Own GrndChldrn and Age of GrndPrnt (Black Alone),B10051B_004E,Grandparent responsible for own grandchildren under 18 years,60 years and over,,,,False,Black or African American Alone,int
5805,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_061M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months",With earnings,"$20,000 to $22,499",,True,Black or African American Alone,int
5845,B19037B.  Age of Householder by Household Income (Black or African American Alone Householder),B19037B_033E,Householder 25 to 44 years,"$125,000 to $149,999",,,,False,Black or African American Alone,int
5863,B13002B.  Women 15 to 50 Years Who Had A Birth in the Past 12 Months by Marital Status (Black or African American Alone),B13002B_004M,Margin Of Error For!!Women who had a birth in the past 12 months,"Unmarried (never married, widowed and divorced)",,,,True,Black or African American Alone,int
5873,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_032E,Male,Other,With earnings,"$7,500 to $9,999",,False,Black or African American Alone,int
5916,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_050M,Margin of Error for!!Female,"Worked full-time, year-round in the past 12 months:",,,,True,Black or African American Alone,int
5956,B19001B.  Household Income (Black or African American Alone Householder),B19001B_015E,"$125,000 to $149,999",,,,,False,Black or African American Alone,int
6028,B19202B.  Median Nonfamily Household Income (Black or African American Alone Householder),B19202B_001M,Margin of Error for!!Median nonfamily household income in the past 12 months (in 2012 inflation-adjusted dollars),,,,,True,Black or African American Alone,int
6061,B19001B.  Household Income (Black or African American Alone Householder),B19001B_017E,"$200,000 or more",,,,,False,Black or African American Alone,int
6122,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_025M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$100,000 or more",,True,Black or African American Alone,int
6170,C15002B.  Sex by Educational Attainment for the Population 25 Years and Over (Black or African American Alone),C15002B_004M,Margin Of Error For!!Male,"High school graduate, GED, or alternative",,,,True,Black or African American Alone,int
6189,C24010B.  Sex by Occupation for the Civilian Employed Population 16 Years and Over (Black or African American Alone),C24010B_013E,Female,"Production, transportation, and material moving occupations:",,,,False,Black or African American Alone,int
6296,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_048E,Male,Other,With earnings,"$100,000 or more",,False,Black or African American Alone,int
6345,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_007M,Margin Of Error For!!Income in the past 12 months below poverty level,Married-couple family,With related children under 18 years,5 to 17 years only,,True,Black or African American Alone,int
6384,B14007B.  School Enrollment by Level of School for the Population 3 Years and Over (Black or African American Alone),B14007B_019E,Not enrolled in school,,,,,False,Black or African American Alone,int
6485,B20005B.  Sex by Work Experience by Earnings for the Pop. 16+ Years (Black or African American Alone),B20005B_008M,Margin of Error for!!Male,"Worked full-time, year-round in the past 12 months",With earnings,"$5,000 to $7,499",,True,Black or African American Alone,int
6509,B17010B.  Poverty Status of Families by Family Type by Presence of Related Children Under 18 Years by Age (Black Alone Hhldr),B17010B_004E,Income in the past 12 months below poverty level,Married-couple family,With related children under 18 years:,,,False,Black or African American Alone,int
